relation_type	related_work	related_person	start_date	end_date
1049	http://schnitzler-werkimport/D166_n1_w1	pmb11527		
1049	http://schnitzler-werkimport/work_2840	pmb11527		
1049	http://schnitzler-werkimport/D123_n1_w3	pmb2226		
1049	http://schnitzler-werkimport/work_2536	pmb2226		
1049	http://schnitzler-werkimport/work_2535	pmb2226		
1049	http://schnitzler-werkimport/D123_n1_w4	pmb2226		
1049	http://schnitzler-werkimport/D123_n1_w5	pmb2226		
1049	http://schnitzler-werkimport/D338_n1_w1	pmb2790		
1049	http://schnitzler-werkimport/work_3460	pmb8396		
1049	http://schnitzler-werkimport/work_1443	pmb13805		
1049	http://schnitzler-werkimport/work_1443	pmb11734		
1049	http://schnitzler-werkimport/work_1327	pmb10788		
1049	http://schnitzler-werkimport/work_1312	pmb10788		
1049	http://schnitzler-werkimport/work_1328	pmb10788		
1049	http://schnitzler-werkimport/work_1316	pmb10788		
1049	http://schnitzler-werkimport/work_1316	pmb18308		
1049	http://schnitzler-werkimport/work_1319	pmb10788		
1049	http://schnitzler-werkimport/work_1325	pmb10788		
1049	http://schnitzler-werkimport/work_1314	pmb10788		
1049	http://schnitzler-werkimport/D20_n1_w6	pmb10788		
1049	http://schnitzler-werkimport/work_1320	pmb10788		
1049	http://schnitzler-werkimport/work_1326	pmb10788		
1049	http://schnitzler-werkimport/D20_n1_w3	pmb10788		
1049	http://schnitzler-werkimport/D20_n1_w2	pmb10788		
1049	http://schnitzler-werkimport/work_1313	pmb10788		
1049	http://schnitzler-werkimport/work_1329	pmb10788		
1049	http://schnitzler-werkimport/work_1321	pmb10788		
1049	http://schnitzler-werkimport/work_1317	pmb10788		
1049	http://schnitzler-werkimport/work_1322	pmb10788		
1049	http://schnitzler-werkimport/work_1324	pmb10788		
1049	http://schnitzler-werkimport/work_1311	pmb10788		
1049	http://schnitzler-werkimport/work_1315	pmb10788		
1049	http://schnitzler-werkimport/work_1323	pmb10788		
1049	http://schnitzler-werkimport/D20_n1_w1	pmb10788		
1049	http://schnitzler-werkimport/work_1674	pmb10955		
1049	http://schnitzler-werkimport/work_1675	pmb10955		
1049	http://schnitzler-werkimport/D46_n1_w2	pmb10955		
1049	http://schnitzler-werkimport/D115_n1_w4	pmb11327		
1049	http://schnitzler-werkimport/D115_n1_w3_o2	pmb11327		
1049	http://schnitzler-werkimport/D115_n1_w3_o1	pmb11327		
1049	http://schnitzler-werkimport/work_2451	pmb11327		
1049	http://schnitzler-werkimport/D115_n1_w2	pmb11327		
1049	http://schnitzler-werkimport/work_2450	pmb11327		
1049	http://schnitzler-werkimport/work_2561	pmb2771		
1049	http://schnitzler-werkimport/work_2561	pmb2989		
1049	http://schnitzler-werkimport/work_2560	pmb2771		
1049	http://schnitzler-werkimport/work_2565	pmb2771		
1049	http://schnitzler-werkimport/work_2565	pmb2989		
